1,0.871336
2,0.887146
3,0.888177
4,0.889894
5,0.891532
6,0.893051
7,0.895391
8,0.898305
9,0.901424
10,0.905175
11,0.910055
12,0.914595
13,0.918926
14,0.9238
15,0.928153
16,0.933004
17,0.936946
18,0.940771
19,0.943971
20,0.947612
21,0.950947
22,0.953813
23,0.956322
24,0.958376
25,0.960123
26,0.961969
27,0.963621
28,0.965157
29,0.969538
30,0.972725
31,0.974895
32,0.97675
33,0.977544
34,0.978741
35,0.980546
36,0.983961
37,0.986983
38,0.989887
39,0.991887
40,0.993639
41,0.995383
42,0.997058
43,0.999311
44,1.0024
45,1.00553
46,1.00894
47,1.0123
48,1.01579
49,1.01955
50,1.02372
51,1.02827
52,1.03246
53,1.03577
54,1.03918
55,1.04164
56,1.04451
57,1.0472
58,1.04637
59,1.04509
60,1.04438
61,1.04452
62,1.0459
63,1.04737
64,1.04742
65,1.04787
66,1.0482
67,1.04758
68,1.04565
69,1.04421
70,1.04266
71,1.04121
72,1.03904
73,1.03695
74,1.03509
75,1.03289
76,1.03039
77,1.02778
78,1.02505
79,1.02251
80,1.01962
81,1.01674
82,1.01396
83,1.01124
84,1.00847
85,1.00614
86,1.00415
87,1.00148
88,0.99919
89,0.997126
90,0.995195
91,0.993499
92,0.992381
93,0.991602
94,0.992278
95,0.992436
96,0.991967
97,0.991116
98,0.989326
99,0.989035
100,0.98873
101,0.98744
102,0.984013
103,0.980522
104,0.977014
105,0.974169
106,0.972608
107,0.972264
108,0.974275
109,0.976256
110,0.977619
111,0.977825
112,0.978414
113,0.977223
114,0.976243
115,0.975381
116,0.974821
117,0.974389
118,0.973313
119,0.971529
120,0.970325
121,0.968648
122,0.966505
123,0.964086
124,0.960884
125,0.957562
126,0.954252
127,0.951099
128,0.947846
129,0.944928
130,0.94159
131,0.937954
132,0.933911
133,0.929498
134,0.925147
135,0.921546
136,0.919285
137,0.916846
138,0.914932
139,0.911411
140,0.907593
141,0.908014
142,0.907985
143,0.903593
144,0.899669
145,0.899253
146,0.897953
147,0.897245
148,0.904514
149,0.913778
150,0.924364
151,0.936329
152,0.951424
153,0.967413
154,0.982867
155,0.993744
